road_name,ausrap_section_id,veh_str_rating_smoothed,survey_date,road_type,OBJECTID,SHAPE_Length
0000009-NEW ENGLAND HIGHWAY,2,3,20211101,State,892,1883.454786
0000006-MID WESTERN HIGHWAY,1,2,20140901,State,893,2529.338428
0000001-PRINCES HIGHWAY,3,3,20150320,State,894,978.8997912
0000262-TONGARRA RD,1,3,20160303,State,895,485.5983564
0000073-THUNDERBOLTS WAY,2,1,20220523,Regional,896,24490.08848
0002100-CHURCH ST,1,3,20210924,Regional,897,1884.873896
"0007012-PENSHURST ST,BROADARROW RD,BRIDGE ST",1,3,20211008,Regional,898,1207.288324
"0000319-MAUDE RD,MOULAMEIN RD",3,3,20211106,Regional,899,3655.411934
"0000153-WOODBURN EVANS HEAD RD,WOODBURN ST",1,3,20220704,Regional,900,4001.133932
0000017-NEWELL HIGHWAY,1,3,20150224,State,901,719.5985772
0000018-CASTLEREAGH HIGHWAY,3,3,20150915,State,902,3499.695308
0007486-HERRING RD,1,4,20211017,Regional,903,1250.531111
"0000609-THE HORSLEY DR,VICTORIA ST",3,4,20161107,State,904,1204.127947
"0000550-MULWALA BAROOGA RD,BAROOGA TOCUMWAL RD,TOCUMWAL RD",1,3,20211118,Regional,905,11109.46661
"0000070-GOODOOGA RD,ARTHUR HALL VC WAY",1,3,20150910,State,906,7083.532989
"0000323-OAKLANDS RD,COROWA RD,JERILDERIE OAKLANDS RD",1,3,20211104,Regional,907,7240.141103
"0007642-SQUIRES WAY,PIONEER RD,TOWRADGI RD",1,3,20211210,Regional,908,729.1140916
"0000319-MAUDE RD,MOULAMEIN RD",1,2,20211109,Regional,909,3681.317233
0000503-PUTTY ROAD,1,1,20150203,State,910,600.6915835
0000093-DELEGATE RD,1,4,20211124,Regional,911,1875.102464
"0000600-OCEAN DR,HASTINGS RIVER DR",1,3,20220516,Regional,912,7295.509458
0000002-HUME HIGHWAY,2,2,20140918,State,913,29680.55525
"0002075-PRESIDENT AV,CAPTAIN COOK DR,THE BOULEVARDE",1,3,20211007,Regional,914,1314.466623
"0002120-BUCHANAN RD,MT VINCENT RD,HIGH ST",1,3,20220406,Regional,915,12647.27196
0000335-WYONG RD,1,5,20150107,State,916,119.6659796
"0000593-SOUTHERN CROSS DR,SOUTH DOWLING ST",1,3,20151210,State,917,3388.026639
0000141-KYOGLE RD,1,3,20220528,Regional,918,1138.995927
"0000596-YAMMA RD,MORUNDAH RD",1,1,20211101,Regional,919,3663.682309
0006004-M4 WESTERN MOTORWAY,1,3,20161121,State,920,6627.130824
"0000130-WERRIS CREEK RD,DURI RD",1,2,20220509,Regional,921,13997.5812
0000314-SPRING DR,1,2,20160123,State,922,7410.397275
0000396-WARRUMBUNGLES WAY,1,2,20211221,Regional,923,3529.227753
"0000182-SACKVILLE FERRY RD,SACKVILLE RD,WILBERFORCE RD",1,1,20151211,State,924,602.2533546
0000679-TWEED VALLEY WAY,1,,20220530,Regional,925,567.0808308
"0000514-OXLEY RD,MAUDE RD",1,4,20211108,Regional,926,3638.395339
0000030-CENTRAL COAST HIGHWAY,7,4,20201210,State,927,1203.078275
0000027-GOLDEN HIGHWAY,2,1,20201212,State,928,548.1230771
0000007-MITCHELL HIGHWAY,2,1,20210217,State,929,10701.38066
0007765-LEMON TREE PASSAGE RD,1,4,20220429,Regional,930,357.3978625
0000012-GWYDIR HIGHWAY,3,2,20201104,State,931,3440.352738
0007483-DUFFY AV,1,4,20211016,Regional,932,388.525135
0000399-NUMINBAH RD,1,1,20220530,Regional,933,11564.87557
0000017-NEWELL HIGHWAY,1,3,20150221,State,934,239.1499079
"0007627-DALMENY DR,MORT AV,NOBLE PDE",1,2,20211203,Regional,935,1196.102619
"0000129-BARADINE RD,COONABARABRAN RD,PURLEWAUGH RD",4,3,20220329,Regional,936,53589.84211
"0000217-WANGI RD,LAKE RD",1,2,20160308,State,937,837.46804
"0000085-BATLOW RD,JINGELLIC RD",1,3,20160124,State,938,616.0396203
"0000296-PRETTY PINE RD,BALRANALD RD,KYALITE RD",1,3,20211105,Regional,939,5253.470826
"0000080-KIDMAN WAY,MOSSGIEL RD,IRRIGATION WAY",1,3,20140925,State,940,851.6072672
0000022-SILVER CITY HIGHWAY,2,1,20140913,State,941,17074.57069
0000014-STURT HIGHWAY,1,2,20160118,State,942,122.3113952
"0000130-WERRIS CREEK RD,DURI RD",1,3,20220509,Regional,943,288.7592583
0000027-GOLDEN HIGHWAY,2,4,20201212,State,944,1179.135035
"0000302-TOMAGO RD,CABBAGE TREE RD",1,2,20160308,State,945,476.4639769
0000279-GOCUP RD,2,4,20160121,State,946,465.9319033
0006004-M4 WESTERN MOTORWAY,2,2,20161121,State,947,240.599027
"0000680-PEMBROKE RD,HAROLD ST,GLENFIELD RD",1,3,20161104,State,948,1211.310533
0000004-SNOWY MOUNTAINS HIGHWAY,2,2,20201110,State,949,8091.498624
"0000644-PROSPECT HWY,ABBOTT RD,BLACKTOWN RD",1,2,20161110,State,950,604.230903
"0007610-YASS VALLEY WAY,COMUR ST,LAIDLAW ST",1,3,20211022,Regional,951,3613.893013
"0002120-BUCHANAN RD,MT VINCENT RD,HIGH ST",1,4,20220406,Regional,952,1438.697396
0000084-BURLEY GRIFFIN WAY,1,2,20140923,State,953,3651.172982
0000010-PACIFIC HIGHWAY,15,3,20211021,State,954,10982.28629
0000022-SILVER CITY HIGHWAY,1,3,20140910,State,955,23520.73103
"0000612-PICTON RD,MENANGLE ST",1,2,20160302,State,956,606.1474324
"0000184-BELLS LINE OF RD,WINDSOR RD",1,3,20151130,State,957,2530.860768
"0000674-THE ESPLANADE,HILLSBOROUGH RD,MEDCALF ST",1,3,20150107,State,958,357.8294431
0000295-FIVE ISLANDS RD,1,3,20160303,State,959,365.3059258
0000010-PACIFIC HIGHWAY,15,3,20211021,State,960,24692.57586
0007144-NORTH ROCKS RD,1,3,20210924,Regional,961,1554.217088
0000066-MENINDEE RD,1,2,20220112,Regional,962,7085.484651
"0000656-NEW LINE RD,BOUNDARY RD",1,5,20161124,State,963,120.6585819
"0000331-JINGELLIC RD,WALBUNDRIE RD,CULCAIRN HOLBROOK RD",1,2,20211117,Regional,964,11462.80206
0000009-NEW ENGLAND HIGHWAY,2,4,20211101,State,965,1185.199327
"0000164-PITTWATER RD,BARRENJOEY RD",1,3,20161130,State,966,1208.344136
0000007-MITCHELL HIGHWAY,2,4,20210217,State,967,2381.965949
"0000184-BELLS LINE OF RD,WINDSOR RD",2,2,20151130,State,968,3964.558987
"0000243-CANOLA WAY,NANGUS RD,GUNDAGAI RD",4,3,20211028,Regional,969,15958.14041
"0000200-KING GEORGES RD,CENTENARY DR,HOMEBUSH BAY DR",2,2,20160222,State,970,362.7773956
"0002043-EASTERN ARTERIAL RD,BURNS RD,EDGEWORTH DAVID AV",1,3,20211016,Regional,971,480.8329873
0000027-GOLDEN HIGHWAY,2,2,20201212,State,972,3558.382541
0000410-KIDMAN WAY,1,3,20140905,State,973,3719.087704
0000007-MITCHELL HIGHWAY,3,4,20201025,State,974,471.3586201
"0000248-RUGBY RD,BOOROWA RD,LAGGAN TARALGA RD",1,2,20211123,Regional,975,28976.25026
"0000652-OLD CANTERBURY RD,DARLEY RD,BALMAIN RD",2,3,20170130,State,976,2776.452646
0000020-RIVERINA HIGHWAY,1,3,20160122,State,977,248.17692
0000005-GREAT WESTERN HIGHWAY,1,2,20151010,State,978,120.548216
"0007121-MARION ST,BIRDWOOD RD,HAIG AV",1,2,20211002,Regional,979,2410.008533
"0000600-OCEAN DR,HASTINGS RIVER DR",1,4,20220627,Regional,980,3291.384489
0000016-BRUXNER HIGHWAY,1,3,20140218,State,981,569.1633658
0000350-THE BOGAN WAY,2,2,20220202,Regional,982,3477.174569
"0000620-CAMDEN VALLEY WAY,REMEMBRANCE DVWY,CAMDEN BYPA",1,2,20211210,Regional,983,3155.042166
0000690-NORWEST BVD,1,3,20170206,State,984,2166.784422
"0007642-SQUIRES WAY,PIONEER RD,TOWRADGI RD",1,3,20211210,Regional,985,4354.554431
0000090-THE BUCKETTS WAY,1,4,20220406,Regional,986,118.786841
"0007223-HAMILTON RD,LAWSON ST",1,2,20210927,Regional,987,156.4865653
0007740-STUARTS POINT RD,1,3,20220628,Regional,988,1561.557129
"0000321-KIDMAN WAY,RANKINS SPRINGS RD",2,4,20160120,State,989,121.5496968
"0000057-GOLDFIELDS WAY, THE GIPPS WAY, FIFIELD RD, THE BOGAN WAY",2,3,20220204,Regional,990,36249.57513
"0000373-EPPING RD,CARLINGFORD RD",1,4,20161123,State,991,602.3977908
0000078-OLYMPIC HIGHWAY,2,1,20140926,State,992,7174.821359
0000012-GWYDIR HIGHWAY,1,2,20210504,State,993,6892.145081
"0000198-SOUTH WEST ROCKS RD,BARNARD ST",1,2,20220628,Regional,994,7017.774142
"0000528-MCEVOY ST,DACEY AV,SYDNEY PARK RD",1,2,20151208,State,995,1205.010952
0000454-WYEE RD,1,3,20220419,Regional,996,15131.85462
"0007735-ROSS LANE,HINTERLAND WAY",2,2,20220601,Regional,997,388.6868975
0000215-BYLONG VALLEY WAY,1,1,20211220,Regional,998,17892.8414
0000010-PACIFIC HIGHWAY,6,2,20211113,State,999,465.0707035
0000017-NEWELL HIGHWAY,1,2,20150221,State,1000,11355.17171
0004033-BURRINJUCK RD,1,2,20211022,Regional,1001,7336.495072
0000001-PRINCES HIGHWAY,2,3,20150320,State,1002,1329.453281
"0000184-BELLS LINE OF RD,WINDSOR RD",2,3,20151130,State,1003,960.5240345
0000019-MONARO HIGHWAY,1,2,20150512,State,1004,3715.843358
0000279-GOCUP RD,1,2,20160124,State,1005,859.3865332
0000295-FIVE ISLANDS RD,1,2,20160303,State,1006,243.4012272
"0000217-WANGI RD,LAKE RD",1,4,20160308,State,1007,357.7632334
0000215-BYLONG VALLEY WAY,1,3,20211220,Regional,1008,3573.50053
0006004-M4 WESTERN MOTORWAY,1,4,20161121,State,1009,6498.792846
0000001-PRINCES HIGHWAY,3,1,20200423,State,1010,375.2451054
"0007627-DALMENY DR,MORT AV,NOBLE PDE",1,3,20211203,Regional,1011,5082.89385
"0000105-NUNDLE RD,HUNTER RD,GUNDY RD",1,2,20220421,Regional,1012,7091.395766
"0000105-NUNDLE RD,HUNTER RD,GUNDY RD",1,3,20220421,Regional,1013,827.334537
0000457-GUNDABLOUI RD,1,3,20220331,Regional,1014,11154.74166
"0000129-BARADINE RD,COONABARABRAN RD,PURLEWAUGH RD",1,3,20220506,Regional,1015,6560.014101
0007155-NEWTON RD,1,2,20210923,Regional,1016,842.8598315
0000679-TWEED VALLEY WAY,1,4,20220530,Regional,1017,2606.113005
0000089-TOMINGLEY ROAD,1,2,20220202,Regional,1018,42004.16054
0000017-NEWELL HIGHWAY,2,1,20150221,State,1019,10422.61285
0000160-OLD NORTHERN RD,1,4,20160114,State,1020,241.6454517
"0000531-PIPERS FLAT RD,PORTLAND CULLEN BULLEN RD,BARTON AV",1,3,20211218,Regional,1021,2277.333611
0000022-SILVER CITY HIGHWAY,1,2,20140910,State,1022,3590.23988
0007608-BARELLAN RD,1,2,20211029,Regional,1023,18276.01731
"0000054-TRUNKEY RD,SOFALA RD,JUNCTION POINT RD",2,3,20151130,State,1024,2164.947772
0000022-SILVER CITY HIGHWAY,2,4,20140913,State,1025,345.082339
"0000194-GENERAL HOLMES DR,THE GRAND PDE",1,2,20160225,State,1026,965.7745597
0000005-GREAT WESTERN HIGHWAY,1,3,20151010,State,1027,5416.22544
0000055-BLACK STUMP WAY,1,3,20211222,Regional,1028,16068.21136
0000010-PACIFIC HIGHWAY,9,4,20211105,State,1029,463.2685468
0000613-NORTHCLIFFE DR,2,3,20211115,Regional,1030,5281.293681
0000018-CASTLEREAGH HIGHWAY,3,3,20150925,State,1031,7031.877628
"0000349-EMPIRE BAY DR,BRISBANE WATER DR,MANNS RD",3,3,20150106,State,1032,481.1028648
"0000393-SIR BERTRAM STEVENS DR,LADY WAKEHURST DR,MCKELL AV",2,2,20160203,State,1033,6290.183223
0000093-DELEGATE RD,1,2,20211124,Regional,1034,22531.80096
0000126-WALLABADAH RD,1,3,20220507,Regional,1035,1176.426629
0000022-SILVER CITY HIGHWAY,1,2,20140910,State,1036,3589.173257
0000185-LAWRENCE HARGRAVE DRIVE,1,5,20150210,State,1037,121.5114095
0000008-BARRIER HIGHWAY,1,2,20211209,State,1038,7039.457565
"0000260-OLD HUME HWY,MOSS VALE RD,MITTAGONG RD",1,2,20160304,State,1039,1595.14066
0000008-BARRIER HIGHWAY,1,3,20211209,State,1040,14081.2357
0007486-HERRING RD,1,4,20211017,Regional,1041,1220.055237
"0000545-BROKEN HEAD RD,BYRON BAY RD,THE COAST RD",1,3,20220601,Regional,1042,2848.570269
"0000460-PLUMMERS LANE,GREGORY ST",1,2,20220708,Regional,1043,13421.94286
0000244-CARRATHOOL RD,1,3,20211030,Regional,1044,3570.854273
0000002-HUME HIGHWAY,2,2,20140918,State,1045,8370.651598
0007719-THUNDERBOLTS WAY,1,2,20220428,Regional,1046,30712.3739
"0000326-TURTON RD,NORTHCOTT DR,BRIDGES RD",1,2,20160308,State,1047,1074.824285
0000120-EASTERN DORRIGO WAY,1,1,20220630,Regional,1048,22402.02058
0000021-COBB HIGHWAY,1,3,20140902,State,1049,230.8752667
"0000104-RICHARDSON RD,RAYMOND TERRACE RD",1,3,20140304,State,1050,3929.984485
"0000070-GOODOOGA RD,ARTHUR HALL VC WAY",1,3,20150910,State,1051,70218.02033
0000335-WYONG RD,1,3,20150107,State,1052,1556.830865
0000027-GOLDEN HIGHWAY,2,2,20201212,State,1053,3447.551755
0000012-GWYDIR HIGHWAY,2,3,20210430,State,1054,10345.94368
0000003-FEDERAL HIGHWAY,1,3,20130923,State,1055,10984.34392
"0000581-SPRINGHILL RD,CORRIMAL ST",1,1,20160303,State,1056,121.7047647
0000150-CLARENCE WAY,1,1,20220630,Regional,1057,21843.90854
"0000067-HATFIELD PENARIE RD,IVANHOE RD,BALRANALD RD",1,4,20211105,Regional,1058,10745.71218
0007769-MYALL RD,1,3,20220502,Regional,1059,2536.261533
"0000211-HOLBROOK RD,HOLBROOK WAGGA RD",1,3,20211117,Regional,1060,3690.528341
"0000063-MANILLA RD,WARIALDA RD,COBBADAH RD",1,1,20150922,State,1061,3496.120622
0000030-CENTRAL COAST HIGHWAY,1,3,20201210,State,1062,480.0370679
"0000544-BENTLEY RD,KYOGLE RD",1,3,20220601,Regional,1063,1707.440895
0000020-RIVERINA HIGHWAY,1,4,20160123,State,1064,983.4348214
"0007630-GEORGE BASS DR,NORTH HEAD DR,BEACH RD",1,3,20211203,Regional,1065,5928.75152
0000233-RENSHAW MCGIRR WAY,1,2,20211217,Regional,1066,21499.23596
0000005-GREAT WESTERN HIGHWAY,8,3,20130921,State,1067,1203.781511
"0000181-WOLLOMBI RD,GREAT NORTH RD,ST ALBANS RD",1,2,20150110,State,1068,7812.685223
"0000701-CAMPBELL RD,CAMPBELL ST,BOURKE RD",1,3,20211020,State,1069,890.7721212
0000106-LINDSAYS GAP RD,1,1,20220511,Regional,1070,6924.396842
0000014-STURT HIGHWAY,6,3,20201029,State,1071,608.6662104
"0000190-SILVERWATER RD,ALFORDS POINT RD,NEW ILLAWARRA RD",4,2,20161108,State,1072,1209.949021
"0000464-MAITLAND RD,HUNTER ST",1,3,20220503,Regional,1073,358.4439192
0000020-RIVERINA HIGHWAY,1,2,20160122,State,1074,35098.11394
0000503-PUTTY ROAD,1,3,20150203,State,1075,3925.553489
"0000162-MONA VALE RD,LANE COVE RD,RYDE RD",1,2,20150126,State,1076,2413.779081
0000512-HEATHCOTE RD,3,,20160203,State,1077,362.8491818
"0000609-THE HORSLEY DR,VICTORIA ST",3,3,20161107,State,1078,1204.07697
0000002-HUME HIGHWAY,2,4,20140918,State,1079,3668.438382
0007212-GROSE VALE RD,1,3,20211006,Regional,1080,2043.285183
0000512-HEATHCOTE RD,3,4,20160203,State,1081,483.540988
0000006-MID WESTERN HIGHWAY,1,3,20140901,State,1082,239.9915609
0002033-RYDE RD,1,3,20211005,Regional,1083,3203.889401
"0000152-LAWRENCE RD,YAMBA RD",1,2,20220701,Regional,1084,9324.105362
"0000054-TRUNKEY RD,SOFALA RD,JUNCTION POINT RD",1,2,20151203,State,1085,6520.522068
0000001-PRINCES HIGHWAY,1,3,20150320,State,1086,1451.304848
"0000191-DELHI RD,MILLWOOD AV,FULLERS RD",1,3,20161128,State,1087,361.062517
0000154-THE NORTHERN ROAD,1,3,20161102,State,1088,845.6076318
0007710-WAVERLEY RD,1,1,20220507,Regional,1089,3512.136148
0000018-CASTLEREAGH HIGHWAY,1,2,20150914,State,1090,3591.065526
0000005-GREAT WESTERN HIGHWAY,2,3,20130921,State,1091,241.0504743
0000005-GREAT WESTERN HIGHWAY,1,2,20151010,State,1092,601.6250524
0000021-COBB HIGHWAY,1,3,20140903,State,1093,97795.42044
"0000632-BRADFIELD HWY,WESTERN DSTR",1,3,20151127,State,1094,2054.644787
0000017-NEWELL HIGHWAY,1,2,20150220,State,1095,10690.07424
0000002-HUME HIGHWAY,2,3,20140918,State,1096,19309.15414
0000515-WALLGROVE RD,1,,20161107,State,1097,120.9059127
0000074-ARMIDALE RD,1,2,20220630,Regional,1098,7157.605601
0000005-GREAT WESTERN HIGHWAY,3,3,20151010,State,1099,722.2734767
0000018-CASTLEREAGH HIGHWAY,3,3,20150925,State,1100,3520.43378
"0000243-CANOLA WAY,NANGUS RD,GUNDAGAI RD",2,3,20211028,Regional,1101,488.9460619
"0000101-STROUD HILL RD,DUNGOG RD,TOCAL RD",1,2,20220406,Regional,1102,7038.142339
0000507-CARRIGAN RD,1,4,20220403,Regional,1103,3523.341774
0007719-THUNDERBOLTS WAY,1,2,20220428,Regional,1104,67106.48202
0000368-THE SPRINGS RD,1,3,20211031,Regional,1105,25852.35914
"0000450-TWEED COAST RD,CUDGERA CREEK RD",1,4,20220530,Regional,1106,1931.73213
0006003-M1 PACIFIC MOTORWAY,1,3,20160307,State,1107,2646.418093
0000017-NEWELL HIGHWAY,2,2,20150221,State,1108,11482.07718
"0000332-ARCADIA RD,BAY RD,BEROWRA WATERS RD",2,1,20211006,Regional,1109,1201.601062
"0007160-GLENDENNING RD,LAMB ST,WOODSTOCK AV",1,3,20211001,Regional,1110,361.5128118
"0000070-GOODOOGA RD,ARTHUR HALL VC WAY",2,4,20220401,Regional,1111,3466.546386
"0000256-ABERCROMBIE RD,TARALGA RD",1,3,20211122,Regional,1112,3638.328504
0000536-MAMRE RD,1,4,20160129,State,1113,1087.611558
"0000167-CANTERBURY RD,NEWBRIDGE RD,MILPERRA RD",1,3,20151208,State,1114,6521.488285
0000008-BARRIER HIGHWAY,1,2,20211209,State,1115,3519.096892
0000157-SHOWGROUND RD,1,4,20161124,State,1116,2298.614025
"0000329-MERRYWINEBONE RD,KENEBRI RD,CYPRESS WAY",2,2,20220331,Regional,1117,9670.009043
0000216-HILL END RD,1,1,20211220,Regional,1118,21472.57913
0000029-KAMILAROI HIGHWAY,4,4,20220203,State,1119,1038.287962
"0000217-WANGI RD,LAKE RD",2,3,20160308,State,1120,1197.607278
0000012-GWYDIR HIGHWAY,1,2,20210504,State,1121,7606.969779
0007705-NORTH STAR RD,1,3,20220525,Regional,1122,3440.927273
0000028-CARNARVON HIGHWAY,1,2,20140225,State,1123,5140.333177
0000001-PRINCES HIGHWAY,2,2,20150320,State,1124,1208.520574
0000503-PUTTY ROAD,1,2,20150203,State,1125,3593.345317
0000009-NEW ENGLAND HIGHWAY,2,3,20211102,State,1126,16403.97869
"0000377-LACHLAN VALLEY WAY,THE ESCORT WAY",1,3,20150217,State,1127,5411.741043
0000022-SILVER CITY HIGHWAY,2,2,20140913,State,1128,7040.885027
0000635-OLD WINDSOR RD,1,3,20161111,State,1129,723.7350735
0000004-SNOWY MOUNTAINS HIGHWAY,2,2,20201110,State,1130,13125.63709
0000018-CASTLEREAGH HIGHWAY,1,3,20150914,State,1131,1067.413108
0007326-GREAT NORTH RD,1,3,20211005,Regional,1132,632.8720788
"0000162-MONA VALE RD,LANE COVE RD,RYDE RD",1,3,20150126,State,1133,961.5813487
"0000270-CAPTAINS FLAT RD,COOMA RD",1,1,20211203,Regional,1134,3689.817895
"0000609-THE HORSLEY DR,VICTORIA ST",3,3,20161107,State,1135,750.8214708
0000014-STURT HIGHWAY,2,3,20201029,State,1136,1338.767531
"0000333-CARINDA RD,CUMBERDOON WAY",1,2,20220117,Regional,1137,7065.538906
0000078-OLYMPIC HIGHWAY,2,3,20140930,State,1138,1951.09052
"0000076-WATERFALL WAY,GRAFTON RD",1,1,20151007,State,1139,8469.984942
0000006-MID WESTERN HIGHWAY,1,2,20140901,State,1140,16987.13687
"0000137-ASHFORD RD,BONSHAW RD",1,1,20220526,Regional,1141,6921.699431
"0000599-EASTERN VALLEY WAY,MILLER ST,STRATHALLEN AV",2,1,20161128,State,1142,70.9970268
0000073-THUNDERBOLTS WAY,2,3,20220523,Regional,1143,582.5530008
0000133-KILLARNEY GAP RD,1,2,20220519,Regional,1144,3464.918796
"0000054-TRUNKEY RD,SOFALA RD,JUNCTION POINT RD",2,1,20151130,State,1145,5746.161112
0000001-PRINCES HIGHWAY,3,3,20150320,State,1146,750.6591019
"0000237-CARGO RD,GOOLOOGONG RD,WARRADERRY WAY",1,3,20220203,Regional,1147,3607.384291
"0000571-CROOKED RIVER RD,FERN ST,BELINDA ST",1,3,20211204,Regional,1148,2787.219113
0000010-PACIFIC HIGHWAY,9,4,20211113,State,1149,13806.86125
0006011-HUNTER EXPRESSWAY,1,4,20150109,State,1150,3455.903947
0000001-PRINCES HIGHWAY,3,2,20150320,State,1151,1111.856125
"0000531-PIPERS FLAT RD,PORTLAND CULLEN BULLEN RD,BARTON AV",1,4,20211218,Regional,1152,720.8550394
"0007153-QUAKERS HILL PWY,KNOX RD,FERRERS RD",1,3,20210110,Regional,1153,2744.773022
"0000540-HOGBIN DR,LYONS RD,FIRST AV",1,2,20220602,Regional,1154,6966.555348
0000084-BURLEY GRIFFIN WAY,1,2,20140923,State,1155,14985.23443
0007119-WATTLE ST,1,4,20211005,Regional,1156,287.7516804
"0007241-STEVENS ST,BELLAMY ST",1,3,20211016,Regional,1157,1852.99028
"0000178-NARELLAN RD,CAMDEN VALLEY WAY",1,,20160202,State,1158,483.6619521
"0002057-EAST ST,ARTHUR ST,WEEROONA RD",1,3,20211005,Regional,1159,3615.971327
"0000167-CANTERBURY RD,NEWBRIDGE RD,MILPERRA RD",1,2,20151208,State,1160,1085.833986
0000626-PRINCES HIGHWAY / NORTHERN SUBURBS DISTRIBUTOR,1,3,20160303,State,1161,1093.539038
0000154-THE NORTHERN ROAD,1,,20161102,State,1162,3512.787314
"0000164-PITTWATER RD,BARRENJOEY RD",1,2,20161123,State,1163,1691.314007
0000029-KAMILAROI HIGHWAY,3,2,20220115,State,1164,3459.833072
0007706-EMMAVILLE RD,1,1,20220523,Regional,1165,13832.04827
"0000193-ERSKINEVILLE RD,SWANSON ST,FOUNTAIN ST",1,2,20151208,State,1166,362.1830237
0000647-BRINGELLY RD,1,3,20161103,State,1167,241.0746924
0000093-DELEGATE RD,1,3,20211124,Regional,1168,7004.713328
"0000063-MANILLA RD,WARIALDA RD,COBBADAH RD",1,3,20150922,State,1169,468.2018799
"0000184-BELLS LINE OF RD,WINDSOR RD",2,3,20151130,State,1170,5411.58324
"0000211-HOLBROOK RD,HOLBROOK WAGGA RD",1,2,20211117,Regional,1171,3688.469951
0000018-CASTLEREAGH HIGHWAY,1,3,20150914,State,1172,2615.827759
0000084-BURLEY GRIFFIN WAY,2,3,20140923,State,1173,121.2294102
"0000237-CARGO RD,GOOLOOGONG RD,WARRADERRY WAY",2,2,20220203,Regional,1174,7092.632451
0007315-BALMAIN RD,1,3,20211008,Regional,1175,2275.655631
"0007163-JERSEY RD,COPELAND RD",3,3,20210921,Regional,1176,1617.357909
"0000177-APPIN RD,CAMPBELLTOWN RD,BULLI APPIN RD",2,2,20140114,State,1177,726.5113994
0000022-SILVER CITY HIGHWAY,2,1,20140911,State,1178,12184.26479
"0000237-CARGO RD,GOOLOOGONG RD,WARRADERRY WAY",2,3,20220203,Regional,1179,3599.838544
0000008-BARRIER HIGHWAY,1,4,20211210,State,1180,1770.501576
0007286-LUDDENHAM RD,1,3,20210921,Regional,1181,11090.32455
"0000092-NERRIGA RD,BRAIDWOOD RD",1,2,20211202,Regional,1182,13156.28946
"0000261-MOSS VALE RD,SHEEPWASH RD,KANGALOON RD",1,4,20160304,State,1183,1217.196694
"0002007-CRYSTAL ST,SHAW ST",1,2,20211008,Regional,1184,1622.036718
0000030-CENTRAL COAST HIGHWAY,1,2,20201210,State,1185,481.1576121
0000022-SILVER CITY HIGHWAY,1,1,20140910,State,1186,3627.164046
"0000188-GLEBE RD,KING ST,DARBY ST",1,3,20220503,Regional,1187,2031.080444
"0000284-TUMBARUMBA RD,LITTLE BILLABONG RD",1,2,20160121,State,1188,6434.224323
"0000104-RICHARDSON RD,RAYMOND TERRACE RD",1,3,20140304,State,1189,476.0675485
"0007718-OGUNBIL RD,NOWENDOC RD,TOPDALE RD",1,3,20220516,Regional,1190,3516.950972
"0000151-ORARA WAY,CORAMBA RD",1,1,20220629,Regional,1191,42150.97816
0007705-NORTH STAR RD,1,2,20220525,Regional,1192,9610.841422
"0000687-SCHOFIELDS RD,SOUTH ST",1,4,20210624,State,1193,2404.307074
0000667-PRESIDENT AV,1,3,20160223,State,1194,1898.896915
0000503-PUTTY ROAD,1,1,20150203,State,1195,8034.326485
0000385-FEDERATION WAY,1,3,20211101,Regional,1196,7835.824778
"0000302-TOMAGO RD,CABBAGE TREE RD",1,4,20160308,State,1197,1073.764653
0000002-HUME HIGHWAY,1,3,20140918,State,1198,1326.203905
"0000692-THE LAKES WAY,FAILFORD RD,MANNING ST",1,2,20151012,State,1199,15870.92104
"0000301-CLARENCE TOWN RD,SEAHAM RD",1,2,20220504,Regional,1200,7150.333577
0000011-OXLEY HIGHWAY,1,2,20201209,State,1201,3505.960694
"0000245-FOREST RD,MILLTHORPE RD",1,2,20211217,Regional,1202,1200.76543
"0000243-CANOLA WAY,NANGUS RD,GUNDAGAI RD",4,4,20211028,Regional,1203,1827.185483
0000165-WESTERN DISTRIBUTOR,4,3,20161202,State,1204,1932.462869
0000083-SUMMERLAND WAY,3,3,20150918,State,1205,5023.558019
0000009-NEW ENGLAND HIGHWAY,2,4,20211101,State,1206,1310.700416
"0000268-TARAGO RD,BUNGENDORE RD",1,2,20211119,Regional,1207,11030.21173
"0000128-GLENDONBROOK RD,GRESFORD RD,PUTTY RD",1,2,20220421,Regional,1208,7503.887429
"0007198-CUMBERLAND RD,RAILWAY PDE,ATCHISON RD",1,4,20210922,Regional,1209,1208.813589
"0007332-DARLEY RD,MACPHERSON ST",1,3,20211009,Regional,1210,4951.620827
0000344-WENTWORTH AV,1,2,20160225,State,1211,1328.663409
"0007512-GOLLAN RD,MURONBUNG RD",1,2,20220201,Regional,1212,14680.85701
"0000531-PIPERS FLAT RD,PORTLAND CULLEN BULLEN RD,BARTON AV",1,3,20211218,Regional,1213,1680.83621
"0000514-OXLEY RD,MAUDE RD",1,3,20211108,Regional,1214,25532.09666
"0000600-OCEAN DR,HASTINGS RIVER DR",1,4,20220516,Regional,1215,1175.390604
0000016-BRUXNER HIGHWAY,1,3,20140218,State,1216,911.5628474
0000014-STURT HIGHWAY,1,4,20201029,State,1217,474.5782571
"0000155-MULGOA RD,PARK RD",1,3,20161103,State,1218,2412.121528
"0000243-CANOLA WAY,NANGUS RD,GUNDAGAI RD",1,2,20211028,Regional,1219,3667.816324
"0000076-WATERFALL WAY,GRAFTON RD",1,2,20151009,State,1220,3828.85627
