road_name,ausrap_section_id,veh_str_rating_smoothed,survey_date,road_type,OBJECTID,SHAPE_Length
"0000237-CARGO RD,GOOLOOGONG RD,WARRADERRY WAY",1,4,20220203,Regional,74,723.6803145
0000011-OXLEY HIGHWAY,1,1,20201209,State,75,3499.128134
0000009-NEW ENGLAND HIGHWAY,2,3,20211103,State,76,19628.24513
0000019-MONARO HIGHWAY,1,2,20150512,State,77,3762.051152
"0000519-BLAXLANDS RIDGE RD,COMLEROY RD",1,2,20211006,Regional,78,11221.14901
"0000240-ARDLETHAN RD,COOLAMON RD",1,4,20211029,Regional,79,244.2450233
0000056-LACHLAN VALLEY WAY,1,1,20150218,State,80,18314.94251
"0007008-BOURKE ST,CRESCENT ST",1,3,20211020,Regional,81,811.6853427
0000017-NEWELL HIGHWAY,1,2,20150220,State,82,25443.21377
0000010-PACIFIC HIGHWAY,12,4,20211022,State,83,2396.764803
"0000328-WARRINGAH RD,BOUNDARY ST",1,3,20161130,State,84,3610.11875
0007472-FALMOUTH RD,1,3,20211001,Regional,85,1261.506429
"0000666-THE CRESCENT,ROSS ST,MINOGUE CR",1,3,20151210,State,86,241.2994266
"0000237-CARGO RD,GOOLOOGONG RD,WARRADERRY WAY",2,2,20220203,Regional,87,6849.814543
0000055-BLACK STUMP WAY,1,3,20211222,Regional,88,707.1356666
0000084-BURLEY GRIFFIN WAY,1,4,20140923,State,89,122.0585869
"0000070-GOODOOGA RD,ARTHUR HALL VC WAY",1,5,20150910,State,90,233.6101283
0000001-PRINCES HIGHWAY,3,2,20150320,State,91,7452.603149
0000011-OXLEY HIGHWAY,3,3,20210212,State,92,3055.794555
"0000052-GRABBEN GULLEN RD,GUNDAROO RD,SUTTON RD",1,3,20151201,State,93,4464.104417
"0007625-COOMA RD,BADJA RD,NUMERALLA RD",1,3,20211216,Regional,94,2355.032144
0000334-COONABARABRAN RD,1,2,20150914,State,95,54022.32059
0000512-HEATHCOTE RD,1,3,20160203,State,96,2066.435275
