Adaptive Defrost,ApplStandard,Brand,Labelled energy consumption (kWh/year),CompartGrVol,CompartNetVol,CompartType,Configuration,Country,Depth,Designation,FF Vol,FZ Vol,Group,Height,Icemaker,MEPSApproval,Model No,Family Name,N-Standard,Star2009,SRI2009,No_Doors,S-MEPS_Ad,S-MEPScutoff,Sold_in,Submit_ID,SubmitStatus,Tot Vol,Width,ExpDate,GrandDate,Product Class,Availability Status,Product Website,Representative Brand URL,Fixed MEPS allowance factor,Variable MEPS allowance factor,Adjusted volume,Type,Star Rating (old),Star Image Large,Star Image Small,Registration Number,Defrost_System_Controller
-,AS/NZS 4474.2:2009/Amdt 1:2011 (old form),FISHER & PAYKEL,345,215.0,214.0,Freezer,Chest,New Zealand,565.0,Freezer,0,215,6C,898.0,No,MEPS 2010,H215X,,AS/NZS 4474.1:2007/Amdt 2:2011,2.5,2.6097,N/A,-,378.816,"Australia,Fiji,New Zealand",49207,Approved,215.0,881.0,,,Class 8,Available,,http://www.fisherpaykel.com,202.0,0.514,344.0,6C,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.5.png,ZRF0261,N/A
-,AS/NZS 4474.2:2009/Amdt 1:2011 (old form),FISHER & PAYKEL,393,275.0,274.0,Freezer,Chest,New Zealand,565.0,Freezer,0,275,6C,898.0,No,MEPS 2010,H275X,,AS/NZS 4474.1:2007/Amdt 2:2011,2.5,2.5725,N/A,-,428.16,"Australia,Fiji,New Zealand",49212,Approved,275.0,1073.0,,,Class 8,Available,,http://www.fisherpaykel.com,202.0,0.514,440.0,6C,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.5.png,ZRF0260,N/A
-,AS/NZS 4474.2:2009/Amdt 1:2011 (old form),FISHER & PAYKEL,424,320.0,319.0,Freezer,Chest,New Zealand,565.0,Freezer,0,320,6C,898.0,No,MEPS 2010,H320X,,AS/NZS 4474.1:2007/Amdt 2:2011,2.5,2.5758,N/A,-,465.168,"Australia,Fiji,New Zealand",49213,Approved,320.0,1214.0,,,Class 8,Available,,http://www.fisherpaykel.com,202.0,0.514,512.0,6C,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.5.png,ZRF0259,N/A
No,AS/NZS 4474.2:2009/Amdt 1:2011 (old form),FISHER & PAYKEL,362,266.0,250.0,Fresh Food,Upright,New Zealand,575.0,Refrigerator,266,0,1,1595.0,No,MEPS 2010,C270R,,AS/NZS 4474.1:2007/Amdt 2:2011,1.0,1.0686,N/A,-,390.696,"Australia,Fiji,New Zealand",49292,Approved,266.0,525.0,,,Class 1,Available,,http://www.fisherpaykel.com,296.0,0.356,266.0,1,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.png,ZRF0257,N/A
No,AS/NZS 4474.2:2009/Amdt 1:2011 (old form),FISHER & PAYKEL,362,266.0,250.0,Fresh Food,Upright,New Zealand,575.0,Refrigerator,266,0,1,1595.0,No,MEPS 2010,C270L,,AS/NZS 4474.1:2007/Amdt 2:2011,1.0,1.0686,N/A,-,390.696,"Australia,Fiji,New Zealand",49292,Approved,266.0,525.0,,,Class 1,Available,,http://www.fisherpaykel.com,296.0,0.356,266.0,1,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.png,ZRF0257,N/A
No,AS/NZS 4474.2:2009/Amdt 1:2011 (old form),FISHER & PAYKEL,362,266.0,250.0,Fresh Food,Upright,New Zealand,575.0,Refrigerator,266,0,1,1595.0,No,MEPS 2010,C270RS,,AS/NZS 4474.1:2007/Amdt 2:2011,1.0,1.0686,N/A,-,390.696,"Australia,Fiji,New Zealand",49292,Approved,266.0,525.0,,,Class 1,Available,,http://www.fisherpaykel.com,296.0,0.356,266.0,1,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.png,ZRF0257,N/A
-,AS/NZS 4474.2:2009,FISHER & PAYKEL,296,"109.0,6.0","101.0,6.0","Fresh Food,Ice making",Upright,New Zealand,575.0,Refrigerator,109,0,2,819.0,No,MEPS 2010,P120R,,AS/NZS 4474.1:2007,1.0,1.01,N/A,-,343.906,"Australia,Fiji,New Zealand",49293,Superseded,115.0,525.0,,2011-12-01,Class 2,Unavailable,,http://www.fisherpaykel.com,308.0,0.309,116.2,2,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.png,ZRF0256,N/A
-,AS/NZS 4474.2:2009,FISHER & PAYKEL,296,"109.0,6.0","101.0,6.0","Fresh Food,Ice making",Upright,New Zealand,575.0,Refrigerator,109,0,2,819.0,No,MEPS 2010,P120L,,AS/NZS 4474.1:2007,1.0,1.01,N/A,-,343.906,"Australia,Fiji,New Zealand",49293,Superseded,115.0,525.0,,2011-12-01,Class 2,Unavailable,,http://www.fisherpaykel.com,308.0,0.309,116.2,2,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.png,ZRF0256,N/A
-,AS/NZS 4474.2:2009,FISHER & PAYKEL,296,"109.0,6.0","101.0,6.0","Fresh Food,Ice making",Upright,New Zealand,575.0,Refrigerator,109,0,2,819.0,No,MEPS 2010,P120RS,,AS/NZS 4474.1:2007,1.0,1.01,N/A,-,343.906,"Australia,Fiji,New Zealand",49293,Superseded,115.0,525.0,,2011-12-01,Class 2,Unavailable,,http://www.fisherpaykel.com,308.0,0.309,116.2,2,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.png,ZRF0256,N/A
-,AS/NZS 4474.2:2009,FISHER & PAYKEL,296,"109.0,6.0","101.0,6.0","Fresh Food,Ice making",Upright,New Zealand,575.0,Refrigerator,109,0,2,819.0,No,MEPS 2010,P120LS,,AS/NZS 4474.1:2007,1.0,1.01,N/A,-,343.906,"Australia,Fiji,New Zealand",49293,Superseded,115.0,525.0,,2011-12-01,Class 2,Unavailable,,http://www.fisherpaykel.com,308.0,0.309,116.2,2,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.png,ZRF0256,N/A
No,AS/NZS 4474.2:2009/Amdt 1:2011 (old form),FISHER & PAYKEL,386,153.0,107.0,Freezer,Upright,New Zealand,570.0,Freezer,0,153,7,1207.0,No,MEPS 2010,E150R,,AS/NZS 4474.1:2007/Amdt 2:2011,1.5,1.5778,N/A,-,508.827,"Australia,Fiji,New Zealand",49294,Approved,153.0,525.0,,,Class 10,Available,,http://www.fisherpaykel.com,383.0,0.514,244.8,7,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.5.png,ZRF0255,N/A
No,AS/NZS 4474.2:2009/Amdt 1:2011 (old form),FISHER & PAYKEL,386,153.0,107.0,Freezer,Upright,New Zealand,570.0,Freezer,0,153,7,1207.0,No,MEPS 2010,E150L,,AS/NZS 4474.1:2007/Amdt 2:2011,1.5,1.5778,N/A,-,508.827,"Australia,Fiji,New Zealand",49294,Approved,153.0,525.0,,,Class 10,Available,,http://www.fisherpaykel.com,383.0,0.514,244.8,7,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.5.png,ZRF0255,N/A
No,AS/NZS 4474.2:2009/Amdt 1:2011 (old form),FISHER & PAYKEL,481,213.0,152.0,Freezer,Upright,New Zealand,570.0,Freezer,0,213,7,1595.0,No,MEPS 2010,E210R,,AS/NZS 4474.1:2007/Amdt 2:2011,1.0,1.3211,N/A,-,558.171,"Australia,Fiji,New Zealand",49297,Approved,213.0,525.0,,,Class 10,Available,,http://www.fisherpaykel.com,383.0,0.514,340.8,7,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.png,ZRF0254,N/A
No,AS/NZS 4474.2:2009/Amdt 1:2011 (old form),FISHER & PAYKEL,481,213.0,152.0,Freezer,Upright,New Zealand,570.0,Freezer,0,213,7,1595.0,No,MEPS 2010,E210L,,AS/NZS 4474.1:2007/Amdt 2:2011,1.0,1.3211,N/A,-,558.171,"Australia,Fiji,New Zealand",49297,Approved,213.0,525.0,,,Class 10,Available,,http://www.fisherpaykel.com,383.0,0.514,340.8,7,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.png,ZRF0254,N/A
No,AS/NZS 4474.2:2009/Amdt 1:2011 (old form),FISHER & PAYKEL,481,213.0,152.0,Freezer,Upright,New Zealand,570.0,Freezer,0,213,7,1595.0,No,MEPS 2010,E210LS,,AS/NZS 4474.1:2007/Amdt 2:2011,1.0,1.3211,N/A,-,558.171,"Australia,Fiji,New Zealand",49297,Approved,213.0,525.0,,,Class 10,Available,,http://www.fisherpaykel.com,383.0,0.514,340.8,7,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.png,ZRF0254,N/A
No,AS/NZS 4474.2:2009/Amdt 1:2011 (old form),FISHER & PAYKEL,559,304.0,237.0,Freezer,Upright,New Zealand,694.0,Freezer,0,304,7,1425.0,No,MEPS 2010,E308R,,AS/NZS 4474.1:2007/Amdt 2:2011,1.0,1.418,N/A,-,633.01,"Australia,Fiji,New Zealand",49298,Approved,304.0,635.0,,,Class 10,Available,,http://www.fisherpaykel.com,383.0,0.514,486.4,7,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.png,ZRF0253,N/A
No,AS/NZS 4474.2:2009/Amdt 1:2011 (old form),FISHER & PAYKEL,559,304.0,237.0,Freezer,Upright,New Zealand,694.0,Freezer,0,304,7,1425.0,No,MEPS 2010,E308L,,AS/NZS 4474.1:2007/Amdt 2:2011,1.0,1.418,N/A,-,633.01,"Australia,Fiji,New Zealand",49298,Approved,304.0,635.0,,,Class 10,Available,,http://www.fisherpaykel.com,383.0,0.514,486.4,7,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.png,ZRF0253,N/A
No,AS/NZS 4474.2:2009/Amdt 1:2011 (old form),FISHER & PAYKEL,616,389.0,288.0,Freezer,Upright,New Zealand,694.0,Freezer,0,389,7,1695.0,No,MEPS 2010,E388RM,,AS/NZS 4474.1:2007/Amdt 2:2011,1.5,1.5357,N/A,-,702.914,"Australia,Fiji,New Zealand",49299,Approved,389.0,635.0,,,Class 10,Available,,http://www.fisherpaykel.com,383.0,0.514,622.4,7,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.5.png,ZRF0252,N/A
No,AS/NZS 4474.2:2009/Amdt 1:2011 (old form),FISHER & PAYKEL,616,389.0,288.0,Freezer,Upright,New Zealand,694.0,Freezer,0,389,7,1695.0,No,MEPS 2010,E388LM,,AS/NZS 4474.1:2007/Amdt 2:2011,1.5,1.5357,N/A,-,702.914,"Australia,Fiji,New Zealand",49299,Approved,389.0,635.0,,,Class 10,Available,,http://www.fisherpaykel.com,383.0,0.514,622.4,7,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.5.png,ZRF0252,N/A
No,AS/NZS 4474.2:2009/Amdt 1:2011 (old form),FISHER & PAYKEL,616,389.0,288.0,Freezer,Upright,New Zealand,694.0,Freezer,0,389,7,1695.0,No,MEPS 2010,E388R,,AS/NZS 4474.1:2007/Amdt 2:2011,1.5,1.5357,N/A,-,702.914,"Australia,Fiji,New Zealand",49299,Approved,389.0,635.0,,,Class 10,Available,,http://www.fisherpaykel.com,383.0,0.514,622.4,7,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.5.png,ZRF0252,N/A
No,AS/NZS 4474.2:2009/Amdt 1:2011 (old form),FISHER & PAYKEL,616,389.0,288.0,Freezer,Upright,New Zealand,694.0,Freezer,0,389,7,1695.0,No,MEPS 2010,E388L,,AS/NZS 4474.1:2007/Amdt 2:2011,1.5,1.5357,N/A,-,702.914,"Australia,Fiji,New Zealand",49299,Approved,389.0,635.0,,,Class 10,Available,,http://www.fisherpaykel.com,383.0,0.514,622.4,7,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.5.png,ZRF0252,N/A
No,AS/NZS 4474.2:2009/Amdt 1:2011 (old form),FISHER & PAYKEL,616,389.0,288.0,Freezer,Upright,New Zealand,694.0,Freezer,0,389,7,1695.0,No,MEPS 2010,E388RXFD,,AS/NZS 4474.1:2007/Amdt 2:2011,1.5,1.5357,N/A,-,702.914,"Australia,Fiji,New Zealand",49299,Approved,389.0,635.0,,,Class 10,Available,,http://www.fisherpaykel.com,383.0,0.514,622.4,7,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.5.png,ZRF0252,N/A
No,AS/NZS 4474.2:2009/Amdt 1:2011 (old form),FISHER & PAYKEL,616,389.0,288.0,Freezer,Upright,New Zealand,694.0,Freezer,0,389,7,1695.0,No,MEPS 2010,E388LXFD,,AS/NZS 4474.1:2007/Amdt 2:2011,1.5,1.5357,N/A,-,702.914,"Australia,Fiji,New Zealand",49299,Approved,389.0,635.0,,,Class 10,Available,,http://www.fisherpaykel.com,383.0,0.514,622.4,7,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.5.png,ZRF0252,N/A
No,AS/NZS 4474.2:2009/Amdt 1:2011 (old form),FISHER & PAYKEL,347,"115.0,57.0","108.0,46.0","Fresh Food,Freezer",Upright,New Zealand,570.0,Refrigerator/Freezer,115,57,5T,1197.0,No,MEPS 2010,E169TR,,AS/NZS 4474.1:2007/Amdt 2:2011,2.0,2.1005,N/A,-,413.181,"Australia,Fiji,New Zealand",49306,Approved,172.0,525.0,,,Class 5,Available,,http://www.fisherpaykel.com,334.0,0.384,206.2,5T,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png,ZRF0251,N/A
No,AS/NZS 4474.2:2009/Amdt 1:2011 (old form),FISHER & PAYKEL,347,"115.0,57.0","108.0,46.0","Fresh Food,Freezer",Upright,New Zealand,570.0,Refrigerator/Freezer,115,57,5T,1197.0,No,MEPS 2010,E169TL,,AS/NZS 4474.1:2007/Amdt 2:2011,2.0,2.1005,N/A,-,413.181,"Australia,Fiji,New Zealand",49306,Approved,172.0,525.0,,,Class 5,Available,,http://www.fisherpaykel.com,334.0,0.384,206.2,5T,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png,ZRF0251,N/A
No,AS/NZS 4474.2:2009/Amdt 1:2011 (old form),FISHER & PAYKEL,394,"191.0,57.0","181.0,46.0","Fresh Food,Freezer",Upright,New Zealand,570.0,Refrigerator/Freezer,191,57,5T,1595.0,No,MEPS 2010,E249TR,,AS/NZS 4474.1:2007/Amdt 2:2011,2.0,2.1761,N/A,-,442.365,"Australia,Fiji,New Zealand",49309,Approved,248.0,525.0,,,Class 5,Available,,http://www.fisherpaykel.com,334.0,0.384,282.2,5T,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png,ZRF0250,N/A
No,AS/NZS 4474.2:2009/Amdt 1:2011 (old form),FISHER & PAYKEL,394,"191.0,57.0","181.0,46.0","Fresh Food,Freezer",Upright,New Zealand,570.0,Refrigerator/Freezer,191,57,5T,1595.0,No,MEPS 2010,E249TL,,AS/NZS 4474.1:2007/Amdt 2:2011,2.0,2.1761,N/A,-,442.365,"Australia,Fiji,New Zealand",49309,Approved,248.0,525.0,,,Class 5,Available,,http://www.fisherpaykel.com,334.0,0.384,282.2,5T,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png,ZRF0250,N/A
No,AS/NZS 4474.2:2009/Amdt 1:2011 (old form),FISHER & PAYKEL,394,"191.0,57.0","181.0,46.0","Fresh Food,Freezer",Upright,New Zealand,570.0,Refrigerator/Freezer,191,57,5T,1595.0,No,MEPS 2010,E249TRS,,AS/NZS 4474.1:2007/Amdt 2:2011,2.0,2.1761,N/A,-,442.365,"Australia,Fiji,New Zealand",49309,Approved,248.0,525.0,,,Class 5,Available,,http://www.fisherpaykel.com,334.0,0.384,282.2,5T,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png,ZRF0250,N/A
No,AS/NZS 4474.2:2009/Amdt 1:2011 (old form),FISHER & PAYKEL,394,"191.0,57.0","181.0,46.0","Fresh Food,Freezer",Upright,New Zealand,570.0,Refrigerator/Freezer,191,57,5T,1595.0,No,MEPS 2010,E249TLS,,AS/NZS 4474.1:2007/Amdt 2:2011,2.0,2.1761,N/A,-,442.365,"Australia,Fiji,New Zealand",49309,Approved,248.0,525.0,,,Class 5,Available,,http://www.fisherpaykel.com,334.0,0.384,282.2,5T,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png,ZRF0250,N/A
No,AS/NZS 4474.2:2009/Amdt 1:2011 (old form),FISHER & PAYKEL,427,"136.0,110.0","127.0,90.0","Fresh Food,Freezer",Upright,New Zealand,570.0,Refrigerator/Freezer,136,110,5B,1595.0,No,MEPS 2010,E240BR,,AS/NZS 4474.1:2007/Amdt 2:2011,2.0,2.0554,N/A,-,559.184,"Australia,Fiji,New Zealand",49312,Approved,246.0,525.0,,,Class 6,Available,,http://www.fisherpaykel.com,440.0,0.382,312.0,5B,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png,ZRF0249,N/A
