Road Safety,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,*2020-21,2021-22
Number of Road Safety Contacts issued personally involving unique expiation notices and apprehension reports excluding camera,"170,193","176,356","182,108","183,007","189,559","210,190","181,634","196,671","169,492","142,683"
Number of SAPOL Road Safety Centre attendees - children,"7,337","9,582","12,233","8,187","7,989","8,877","8,373","5,718",117,"5,886"
"Number of SAPOL Road Safety Centre attendees - young adults 
(16-24 years)",0,177,2,17,107,123,80,174,0,268
Total number people attending SAPOL road safety programmes ,"56,868","66,673","75,674","68,697","66,647","79,808","74,827","42,641","25,925","42,997"
"* The 2020-21 financial year, saw the Road Safety Centre closed due to COVID deployments from April 2020 until May 2021 with the exception of school crossing monitor training. ",,,,,,,,,,
