"REPORT_ID","Suburb","LGA Name","Total Units","Total Cas","Total Fats","Total SI","Total MI","Year","Month","Day","Time","Area Speed","Road Surface","Moisture Cond","Weather Cond","DayNight","Crash Type","Unit Resp","DUI Involved","Drugs Involved","ACCLOC_X","ACCLOC_Y"
"2021-15702-19/09/2025","ADELAIDE","CITY OF ADELAIDE",1,1,0,0,1,2021,"April","Saturday","04:30 pm",50,"Sealed","Wet","Not Raining","Daylight","Roll Over",1,,,1327630.86,1670798.54
"2021-15703-19/09/2025","ADELAIDE","CITY OF ADELAIDE",2,1,0,0,1,2021,"April","Tuesday","08:57 am",50,"Sealed","Dry","Not Raining","Daylight","Hit Parked Vehicle",1,,,1328413.06,1670384.6
"2021-15706-19/09/2025","WHYALLA PLAYFORD","CC WHYALLA.",2,1,0,0,1,2021,"April","Wednesday","08:30 am",50,"Sealed","Dry","Not Raining","Daylight","Hit Pedestrian",1,,,1238841.8,1883142.22
"2021-15707-19/09/2025","SEACOMBE HEIGHTS","CC MARION.",2,3,0,0,3,2021,"April","Wednesday","08:45 am",60,"Sealed","Dry","Not Raining","Daylight","Right Angle",2,,,1323483.64,1659420.61
"2021-15711-19/09/2025","WOODVILLE PARK","CITY OF CHARLES STURT",2,1,0,0,1,2021,"April","Wednesday","10:05 am",60,"Sealed","Dry","Not Raining","Daylight","Right Angle",2,,,1324077.16,1676348.18
"2021-15715-19/09/2025","WOODSIDE","THE ADELAIDE HILLS COUNCIL",2,1,0,0,1,2021,"April","Wednesday","09:30 am",50,"Sealed","Dry","Not Raining","Daylight","Right Turn",2,,,1353498.06,1666828.2
"2021-15716-19/09/2025","ST MARYS","CC MITCHAM.",1,1,0,0,1,2021,"April","Sunday","11:30 am",60,"Sealed","Dry","Not Raining","Daylight","Other",1,,,1325956.16,1663317.85
"2021-15717-19/09/2025","GAWLER","CT GAWLER.",2,1,0,0,1,2021,"April","Wednesday","01:00 pm",50,"Sealed","Dry","Not Raining","Daylight","Hit Pedestrian",1,,,1343261.23,1706048.93
"2021-15720-19/09/2025","ROSTREVOR","CC CAMPBELLTOWN.",1,1,0,0,1,2021,"April","Wednesday","02:45 pm",60,"Sealed","Dry","Not Raining","Daylight","Roll Over",1,,,1335412.17,1674466.69
"2021-15722-19/09/2025","KINGSWOOD","CC MITCHAM.",2,1,0,0,1,2021,"April","Wednesday","03:43 pm",50,"Sealed","Dry","Not Raining","Daylight","Right Angle",2,,,1329336.67,1666100.84
